time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
675,22,403.0,0.0,561.0
676,14,393.0,0.0,563.0
677,25,376.0,0.0,560.0
678,13,357.0,0.0,566.0
679,11,342.0,0.0,571.0
680,6,331.0,0.0,576.0
681,11,353.0,0.0,570.0
682,14,357.0,0.0,570.0
683,25,376.0,0.0,563.0
684,16,392.0,0.0,564.0
685,16,404.0,0.0,571.0
686,51,446.0,0.0,540.0
687,22,456.0,0.0,539.0
688,21,471.0,0.0,540.0
689,21,479.0,0.0,541.0
690,16,484.0,0.0,543.0
691,15,494.0,0.0,548.0
692,22,511.0,0.0,545.0
693,16,505.0,0.0,559.0
694,20,517.0,0.0,556.0
695,15,520.0,0.0,564.0
696,21,524.0,0.0,568.0
697,20,547.0,0.0,565.0
698,49,550.0,0.0,539.0
699,31,537.0,0.0,552.0
700,20,536.0,0.0,568.0
701,39,556.0,0.0,553.0
702,30,553.0,0.0,552.0
703,31,558.0,0.0,559.0
704,39,559.0,0.0,551.0
705,27,548.0,0.0,560.0
706,27,557.0,0.0,552.0
707,26,552.0,0.0,560.0
708,22,545.0,0.0,569.0
709,12,546.0,0.0,575.0
710,32,556.0,0.0,556.0
711,31,545.0,0.0,558.0
712,32,547.0,0.0,554.0
713,25,552.0,0.0,558.0
714,38,560.0,0.0,548.0
715,26,548.0,0.0,559.0
716,37,549.0,0.0,546.0
717,19,529.0,0.0,563.0
718,25,538.0,0.0,559.0
719,34,544.0,0.0,544.0
720,21,540.0,0.0,547.0
721,14,518.0,0.0,565.0
722,29,525.0,0.0,552.0
723,18,502.0,0.0,564.0
724,9,492.0,0.0,573.0
725,11,490.0,0.0,570.0
726,10,480.0,0.0,573.0
727,8,472.0,0.0,573.0
728,22,467.0,0.0,560.0
729,10,449.0,0.0,570.0
730,13,443.0,0.0,572.0
731,7,457.0,0.0,579.0
732,9,470.0,0.0,582.0
733,19,488.0,0.0,576.0
734,13,501.0,0.0,580.0
735,19,528.0,0.0,575.0
736,15,526.0,0.0,579.0
737,16,539.0,0.0,578.0
738,24,553.0,0.0,571.0
739,18,600.0,0.0,573.0
740,25,618.0,0.0,571.0
741,20,621.0,0.0,576.0
742,19,627.0,0.0,578.0
743,26,642.0,0.0,569.0
744,28,658.0,0.0,567.0
745,20,652.0,0.0,575.0
746,23,665.0,0.0,571.0
747,10,668.0,0.0,585.0
748,47,693.0,0.0,549.0
749,24,667.0,0.0,571.0
750,20,681.0,0.0,573.0
751,20,686.0,0.0,573.0
752,32,706.0,0.0,556.0
753,27,707.0,0.0,562.0
754,21,717.0,0.0,570.0
755,56,722.0,0.0,536.0
756,34,690.0,0.0,552.0
757,22,674.0,0.0,569.0
758,17,680.0,0.0,574.0
759,36,693.0,0.0,556.0
760,32,689.0,0.0,559.0
761,25,677.0,0.0,565.0
762,28,677.0,0.0,560.0
763,22,685.0,0.0,563.0
764,48,692.0,0.0,537.0
765,25,672.0,0.0,560.0
766,19,670.0,0.0,568.0
767,12,672.0,0.0,569.0
768,21,675.0,0.0,564.0
769,20,674.0,0.0,561.0
770,16,661.0,0.0,571.0
771,15,650.0,0.0,573.0
772,25,650.0,0.0,561.0
773,9,628.0,0.0,578.0
774,8,618.0,0.0,581.0
775,9,612.0,0.0,579.0
776,17,607.0,0.0,574.0
777,12,602.0,0.0,571.0
778,14,593.0,0.0,580.0
779,14,603.0,0.0,575.0
780,12,614.0,0.0,579.0
781,11,636.0,0.0,576.0
782,7,648.0,0.0,583.0
783,20,665.0,0.0,572.0
784,19,668.0,0.0,574.0
785,15,671.0,0.0,580.0
786,12,700.0,0.0,583.0
787,16,717.0,0.0,578.0
788,14,736.0,0.0,580.0
789,17,756.0,0.0,578.0
790,11,782.0,0.0,583.0
791,24,819.0,0.0,571.0
792,23,833.0,0.0,571.0
793,27,849.0,0.0,566.0
794,17,854.0,0.0,575.0
795,13,861.0,0.0,578.0
796,34,882.0,0.0,557.0
797,21,885.0,0.0,568.0
798,44,900.0,0.0,543.0
799,37,893.0,0.0,550.0
800,32,900.0,0.0,552.0
801,21,897.0,0.0,565.0
802,20,893.0,0.0,570.0
803,24,907.0,0.0,566.0
804,19,913.0,0.0,572.0
805,22,914.0,0.0,568.0
806,52,934.0,0.0,539.0
807,30,909.0,0.0,556.0
808,32,909.0,0.0,554.0
809,35,908.0,0.0,551.0
810,30,912.0,0.0,554.0
811,30,903.0,0.0,559.0
812,38,910.0,0.0,550.0
813,28,905.0,0.0,559.0
814,22,905.0,0.0,563.0
815,26,920.0,0.0,556.0
816,21,907.0,0.0,565.0
817,21,899.0,0.0,562.0
818,18,890.0,0.0,568.0
819,18,880.0,0.0,567.0
820,15,869.0,0.0,570.0
821,18,861.0,0.0,566.0
822,21,864.0,0.0,567.0
823,7,850.0,0.0,579.0
824,16,844.0,0.0,571.0
825,17,836.0,0.0,566.0
826,9,824.0,0.0,578.0
827,14,827.0,0.0,576.0
828,10,827.0,0.0,579.0
829,13,832.0,0.0,577.0
830,19,841.0,0.0,571.0
831,18,840.0,0.0,571.0
832,15,850.0,0.0,573.0
833,14,876.0,0.0,577.0
834,14,884.0,0.0,577.0
835,20,894.0,0.0,572.0
836,21,905.0,0.0,569.0
837,18,909.0,0.0,569.0
838,16,914.0,0.0,574.0
839,10,922.0,0.0,577.0
840,18,943.0,0.0,570.0
841,20,951.0,0.0,570.0
842,27,963.0,0.0,566.0
843,23,985.0,0.0,568.0
844,18,1000.0,0.0,573.0
845,23,1009.0,0.0,568.0
846,17,1009.0,0.0,573.0
847,21,1021.0,0.0,572.0
848,22,1045.0,0.0,570.0
849,14,1050.0,0.0,574.0
850,18,1055.0,0.0,575.0
851,32,1062.0,0.0,562.0
852,25,1058.0,0.0,568.0
853,36,1054.0,0.0,557.0
854,25,1047.0,0.0,560.0
855,22,1047.0,0.0,566.0
856,22,1059.0,0.0,567.0
857,24,1063.0,0.0,565.0
858,34,1088.0,0.0,555.0
859,32,1079.0,0.0,555.0
860,30,1077.0,0.0,554.0
861,39,1061.0,0.0,548.0
862,18,1040.0,0.0,569.0
863,24,1037.0,0.0,563.0
864,24,1027.0,0.0,561.0
