time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
344,25,349.0,0.0,495.0
345,26,313.0,0.0,507.0
346,19,299.0,0.0,512.0
347,23,290.0,0.0,516.0
348,22,289.0,0.0,524.0
349,20,306.0,0.0,529.0
350,34,307.0,0.0,530.0
351,44,304.0,0.0,520.0
352,21,309.0,0.0,521.0
353,34,311.0,0.0,522.0
354,27,319.0,0.0,519.0
355,22,313.0,0.0,533.0
356,57,323.0,0.0,495.0
357,58,323.0,0.0,472.0
358,39,310.0,0.0,470.0
359,40,286.0,0.0,486.0
360,32,260.0,0.0,509.0
361,29,263.0,0.0,506.0
362,32,258.0,0.0,514.0
363,30,253.0,0.0,512.0
364,31,251.0,0.0,514.0
365,24,253.0,0.0,517.0
366,28,262.0,0.0,509.0
367,45,264.0,0.0,495.0
368,34,249.0,0.0,500.0
369,26,244.0,0.0,502.0
370,34,253.0,0.0,492.0
371,40,252.0,0.0,487.0
372,33,247.0,0.0,484.0
373,33,246.0,0.0,471.0
374,30,245.0,0.0,465.0
375,23,242.0,0.0,463.0
376,41,247.0,0.0,458.0
377,24,237.0,0.0,471.0
378,20,242.0,0.0,466.0
379,28,240.0,0.0,471.0
380,28,250.0,0.0,463.0
381,25,247.0,0.0,464.0
382,12,246.0,0.0,466.0
383,17,239.0,0.0,471.0
384,14,243.0,0.0,471.0
385,16,244.0,0.0,465.0
386,20,233.0,0.0,468.0
387,8,229.0,0.0,467.0
388,5,229.0,0.0,465.0
389,10,226.0,0.0,461.0
390,5,221.0,0.0,461.0
391,3,218.0,0.0,461.0
392,3,217.0,0.0,459.0
393,2,219.0,0.0,459.0
394,6,220.0,0.0,457.0
395,10,228.0,0.0,456.0
396,9,239.0,0.0,469.0
397,11,252.0,0.0,469.0
398,19,274.0,0.0,459.0
399,9,282.0,0.0,470.0
400,6,295.0,0.0,471.0
401,20,308.0,0.0,463.0
402,19,322.0,0.0,470.0
403,10,326.0,0.0,484.0
404,14,341.0,0.0,482.0
405,15,345.0,0.0,491.0
406,19,360.0,0.0,488.0
407,29,371.0,0.0,483.0
408,66,367.0,0.0,453.0
409,43,355.0,0.0,461.0
410,30,357.0,0.0,462.0
411,26,365.0,0.0,470.0
412,23,366.0,0.0,471.0
413,29,385.0,0.0,464.0
414,34,376.0,0.0,464.0
415,31,365.0,0.0,475.0
416,35,374.0,0.0,476.0
417,26,372.0,0.0,490.0
418,31,378.0,0.0,478.0
419,41,367.0,0.0,466.0
420,22,357.0,0.0,481.0
421,16,357.0,0.0,487.0
422,32,370.0,0.0,486.0
423,28,373.0,0.0,488.0
424,22,371.0,0.0,489.0
425,28,370.0,0.0,488.0
426,12,368.0,0.0,498.0
427,38,383.0,0.0,473.0
428,30,383.0,0.0,475.0
429,16,371.0,0.0,496.0
430,24,386.0,0.0,485.0
431,30,381.0,0.0,476.0
432,21,362.0,0.0,489.0
433,18,347.0,0.0,494.0
434,20,350.0,0.0,484.0
435,14,340.0,0.0,488.0
436,10,330.0,0.0,491.0
437,9,324.0,0.0,491.0
438,6,314.0,0.0,496.0
439,8,310.0,0.0,493.0
440,15,301.0,0.0,487.0
441,9,289.0,0.0,493.0
442,9,289.0,0.0,492.0
443,16,288.0,0.0,490.0
444,14,304.0,0.0,496.0
445,23,319.0,0.0,488.0
446,10,324.0,0.0,498.0
447,11,334.0,0.0,499.0
448,18,340.0,0.0,494.0
449,30,355.0,0.0,487.0
450,20,351.0,0.0,497.0
451,19,352.0,0.0,501.0
452,27,357.0,0.0,498.0
453,13,358.0,0.0,507.0
454,22,374.0,0.0,496.0
455,53,404.0,0.0,469.0
456,15,398.0,0.0,498.0
457,28,422.0,0.0,488.0
458,35,431.0,0.0,487.0
459,20,431.0,0.0,500.0
460,37,447.0,0.0,491.0
461,58,459.0,0.0,470.0
462,34,443.0,0.0,488.0
463,27,440.0,0.0,496.0
464,35,452.0,0.0,488.0
465,40,457.0,0.0,479.0
466,33,452.0,0.0,477.0
467,20,440.0,0.0,491.0
468,36,443.0,0.0,479.0
469,22,428.0,0.0,500.0
470,29,436.0,0.0,498.0
471,26,430.0,0.0,501.0
472,40,434.0,0.0,485.0
473,35,436.0,0.0,484.0
474,38,431.0,0.0,479.0
475,23,424.0,0.0,484.0
476,14,426.0,0.0,492.0
477,21,428.0,0.0,496.0
478,27,430.0,0.0,486.0
