time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
374,73,1097.0,0.0,515.0
375,58,1039.0,0.0,533.0
376,79,1022.0,0.0,512.0
377,67,963.0,0.0,531.0
378,75,918.0,0.0,521.0
379,115,873.0,0.0,482.0
380,68,805.0,0.0,512.0
381,30,748.0,0.0,562.0
382,51,733.0,0.0,539.0
383,76,694.0,0.0,517.0
384,29,635.0,0.0,565.0
385,46,616.0,0.0,549.0
386,53,589.0,0.0,535.0
387,17,576.0,0.0,534.0
388,45,542.0,0.0,526.0
389,59,510.0,0.0,502.0
390,25,475.0,0.0,512.0
391,34,454.0,0.0,499.0
392,62,426.0,0.0,465.0
393,34,360.0,0.0,501.0
394,36,328.0,0.0,502.0
395,20,321.0,0.0,506.0
396,51,334.0,0.0,475.0
397,18,310.0,0.0,505.0
398,25,298.0,0.0,523.0
399,24,295.0,0.0,530.0
400,26,290.0,0.0,529.0
401,41,285.0,0.0,518.0
402,56,288.0,0.0,499.0
403,31,284.0,0.0,500.0
404,23,284.0,0.0,504.0
405,27,261.0,0.0,528.0
406,30,255.0,0.0,535.0
407,30,254.0,0.0,541.0
408,37,243.0,0.0,547.0
409,39,247.0,0.0,543.0
410,52,252.0,0.0,519.0
411,50,248.0,0.0,515.0
412,30,239.0,0.0,519.0
413,58,253.0,0.0,488.0
414,41,201.0,0.0,524.0
415,38,195.0,0.0,523.0
416,36,210.0,0.0,517.0
417,41,197.0,0.0,527.0
418,33,176.0,0.0,540.0
419,26,167.0,0.0,541.0
420,44,167.0,0.0,524.0
421,33,146.0,0.0,534.0
422,40,152.0,0.0,532.0
423,34,143.0,0.0,540.0
424,29,141.0,0.0,534.0
425,42,135.0,0.0,524.0
426,59,127.0,0.0,493.0
427,34,122.0,0.0,492.0
428,30,118.0,0.0,498.0
429,34,104.0,0.0,503.0
430,19,101.0,0.0,515.0
431,13,106.0,0.0,513.0
432,12,109.0,0.0,513.0
433,19,108.0,0.0,503.0
434,15,104.0,0.0,505.0
435,16,95.0,0.0,506.0
436,7,89.0,0.0,508.0
437,5,97.0,0.0,498.0
438,5,101.0,0.0,490.0
439,5,91.0,0.0,496.0
440,5,90.0,0.0,492.0
441,5,85.0,0.0,495.0
442,3,97.0,0.0,488.0
443,10,116.0,0.0,472.0
444,12,130.0,0.0,482.0
445,17,139.0,0.0,486.0
446,12,149.0,0.0,489.0
447,17,148.0,0.0,495.0
448,12,143.0,0.0,507.0
449,29,148.0,0.0,511.0
450,29,140.0,0.0,516.0
451,23,128.0,0.0,529.0
452,19,131.0,0.0,536.0
453,20,135.0,0.0,535.0
454,21,140.0,0.0,536.0
455,60,174.0,0.0,498.0
456,30,179.0,0.0,501.0
457,33,184.0,0.0,505.0
458,36,192.0,0.0,504.0
459,26,195.0,0.0,508.0
460,30,194.0,0.0,523.0
461,34,214.0,0.0,518.0
462,41,224.0,0.0,503.0
463,27,211.0,0.0,521.0
464,37,220.0,0.0,514.0
465,34,228.0,0.0,508.0
466,21,232.0,0.0,509.0
467,24,236.0,0.0,503.0
468,38,237.0,0.0,491.0
469,26,239.0,0.0,491.0
470,27,238.0,0.0,500.0
471,22,238.0,0.0,501.0
472,24,242.0,0.0,501.0
473,28,248.0,0.0,503.0
474,18,246.0,0.0,515.0
475,13,245.0,0.0,524.0
476,47,252.0,0.0,494.0
477,29,245.0,0.0,499.0
478,21,244.0,0.0,498.0
479,20,233.0,0.0,508.0
480,10,232.0,0.0,516.0
481,10,224.0,0.0,529.0
482,28,230.0,0.0,517.0
483,14,221.0,0.0,523.0
