idx,Grid ID,avg_lat,avg_lon,real_total_demand,cluster_label,is_selected_site
287,287,31.0789,121.5177,1870,20,False
288,288,31.0789,121.5277,82,20,False
289,289,31.0789,121.5377,186,8,False
290,290,31.0789,121.5477,632,8,False
291,291,31.0789,121.5577,67,8,False
292,292,31.0789,121.5677,60,8,False
293,293,31.0789,121.5777,270,8,False
294,294,31.0789,121.5877,1529,8,False
295,295,31.0789,121.5977,688,8,False
296,296,31.0789,121.6077,561,8,False
297,297,31.0789,121.6177,5,8,False
298,298,31.0789,121.6277,86,8,False
299,299,31.0789,121.6377,328,8,False
300,300,31.0889,121.2177,144,0,False
301,301,31.0889,121.2277,2564,0,False
302,302,31.0889,121.2377,161,0,False
303,303,31.0889,121.2477,583,0,False
304,304,31.0889,121.2577,821,0,False
305,305,31.0889,121.2677,629,0,False
306,306,31.0889,121.2777,514,0,False
307,307,31.0889,121.2877,203,0,False
308,308,31.0889,121.2977,116,0,False
309,309,31.0889,121.3077,453,17,False
310,310,31.0889,121.3177,243,17,False
311,311,31.0889,121.3277,1045,10,False
312,312,31.0889,121.3377,2096,10,False
313,313,31.0889,121.3477,888,10,False
314,314,31.0889,121.3577,882,10,False
315,315,31.0889,121.3677,3918,10,False
316,316,31.0889,121.3777,7799,10,False
317,317,31.0889,121.3877,8275,10,False
318,318,31.0889,121.3977,8290,10,False
319,319,31.0889,121.4077,3883,10,False
320,320,31.0889,121.4177,6252,10,False
321,321,31.0889,121.4277,3894,22,False
322,322,31.0889,121.4377,2280,20,False
323,323,31.0889,121.4477,690,20,False
324,324,31.0889,121.4577,681,20,False
325,325,31.0889,121.4677,86,20,False
326,326,31.0889,121.4777,185,20,False
327,327,31.0889,121.4877,228,20,False
328,328,31.0889,121.4977,1234,20,False
329,329,31.0889,121.5077,2596,20,False
330,330,31.0889,121.5177,1192,20,False
331,331,31.0889,121.5277,674,8,False
332,332,31.0889,121.5377,89,8,False
333,333,31.0889,121.5477,50,8,False
334,334,31.0889,121.5577,70,8,False
335,335,31.0889,121.5677,156,8,False
336,336,31.0889,121.5777,1516,8,False
337,337,31.0889,121.5877,2779,8,False
338,338,31.0889,121.5977,464,8,False
339,339,31.0889,121.6077,9,8,False
340,340,31.0889,121.6177,18,8,False
341,341,31.0889,121.6277,21,8,False
342,342,31.0889,121.6377,115,8,False
343,343,31.0989,121.2177,653,0,False
344,344,31.0989,121.2277,145,0,False
345,345,31.0989,121.2377,17,0,False
346,346,31.0989,121.2477,399,0,False
347,347,31.0989,121.2577,871,0,False
348,348,31.0989,121.2677,638,0,False
349,349,31.0989,121.2777,356,0,False
350,350,31.0989,121.2877,648,17,False
351,351,31.0989,121.2977,356,17,False
352,352,31.0989,121.3077,778,17,False
353,353,31.0989,121.3177,2093,17,False
354,354,31.0989,121.3277,747,10,False
355,355,31.0989,121.3377,3086,10,False
356,356,31.0989,121.3477,5705,10,False
357,357,31.0989,121.3577,3022,10,False
358,358,31.0989,121.3677,4761,10,False
359,359,31.0989,121.3777,7983,10,True
360,360,31.0989,121.3877,14103,10,False
361,361,31.0989,121.3977,4725,10,False
362,362,31.0989,121.4077,10707,10,False
363,363,31.0989,121.4177,5654,22,False
364,364,31.0989,121.4277,6170,22,False
365,365,31.0989,121.4377,1895,22,False
366,366,31.0989,121.4477,2860,20,False
367,367,31.0989,121.4577,242,20,False
368,368,31.0989,121.4677,145,20,False
369,369,31.0989,121.4777,225,20,False
370,370,31.0989,121.4877,2307,20,False
371,371,31.0989,121.4977,4123,20,False
372,372,31.0989,121.5077,522,20,False
373,373,31.0989,121.5177,318,20,False
374,374,31.0989,121.5277,345,8,False
375,375,31.0989,121.5377,319,8,False
376,376,31.0989,121.5477,151,8,False
377,377,31.0989,121.5577,70,8,False
378,378,31.0989,121.5677,1289,8,False
379,379,31.0989,121.5777,2303,8,False
380,380,31.0989,121.5877,2856,8,False
381,381,31.0989,121.5977,434,8,False
382,382,31.0989,121.6077,160,8,False
383,383,31.0989,121.6177,310,8,False
384,384,31.0989,121.6277,522,8,False
385,385,31.0989,121.6377,362,8,False
386,386,31.1089,121.2177,200,0,False
387,387,31.1089,121.2277,5554,0,False
388,388,31.1089,121.2377,1481,0,False
389,389,31.1089,121.2477,3083,0,False
390,390,31.1089,121.2577,2524,0,False
391,391,31.1089,121.2677,2210,0,False
392,392,31.1089,121.2777,2424,17,False
393,393,31.1089,121.2877,577,17,False
394,394,31.1089,121.2977,359,17,False
395,395,31.1089,121.3077,1532,17,False
396,396,31.1089,121.3177,952,17,False
397,397,31.1089,121.3277,436,17,False
398,398,31.1089,121.3377,956,10,False
399,399,31.1089,121.3477,5406,10,False
400,400,31.1089,121.3577,7769,10,False
401,401,31.1089,121.3677,26797,10,False
402,402,31.1089,121.3777,41652,10,False
403,403,31.1089,121.3877,32252,10,False
404,404,31.1089,121.3977,17341,10,False
405,405,31.1089,121.4077,19097,22,False
406,406,31.1089,121.4177,3182,22,False
407,407,31.1089,121.4277,8997,22,False
408,408,31.1089,121.4377,3699,22,False
409,409,31.1089,121.4477,4177,22,False
410,410,31.1089,121.4577,225,22,False
411,411,31.1089,121.4677,198,20,False
412,412,31.1089,121.4777,439,20,False
413,413,31.1089,121.4877,1148,20,False
414,414,31.1089,121.4977,1133,25,False
415,415,31.1089,121.5077,1010,25,False
416,416,31.1089,121.5177,416,25,False
417,417,31.1089,121.5277,860,8,False
418,418,31.1089,121.5377,507,8,False
419,419,31.1089,121.5477,468,8,False
420,420,31.1089,121.5577,598,8,False
421,421,31.1089,121.5677,2793,8,False
422,422,31.1089,121.5777,2816,8,False
423,423,31.1089,121.5877,657,8,False
424,424,31.1089,121.5977,544,8,False
425,425,31.1089,121.6077,2179,8,False
426,426,31.1089,121.6177,189,8,False
427,427,31.1089,121.6277,162,8,False
428,428,31.1089,121.6377,370,8,False
429,429,31.1189,121.2177,660,0,False
430,430,31.1189,121.2277,613,0,False
431,431,31.1189,121.2377,834,0,False
432,432,31.1189,121.2477,1097,0,False
433,433,31.1189,121.2577,10284,17,False
434,434,31.1189,121.2677,4273,17,False
435,435,31.1189,121.2777,3111,17,False
436,436,31.1189,121.2877,1219,17,False
437,437,31.1189,121.2977,529,17,False
438,438,31.1189,121.3077,1193,17,False
439,439,31.1189,121.3177,2199,17,False
440,440,31.1189,121.3277,3097,17,False
441,441,31.1189,121.3377,1572,10,False
442,442,31.1189,121.3477,1867,10,False
443,443,31.1189,121.3577,9832,10,False
444,444,31.1189,121.3677,17184,10,False
445,445,31.1189,121.3777,25117,10,False
446,446,31.1189,121.3877,6408,10,False
447,447,31.1189,121.3977,18733,22,False
448,448,31.1189,121.4077,8737,22,False
449,449,31.1189,121.4177,15953,22,False
450,450,31.1189,121.4277,11970,22,False
451,451,31.1189,121.4377,7534,22,False
452,452,31.1189,121.4477,13086,22,False
453,453,31.1189,121.4577,5704,22,False
454,454,31.1189,121.4677,160,22,False
455,455,31.1189,121.4777,402,25,False
456,456,31.1189,121.4877,1968,25,False
457,457,31.1189,121.4977,6402,25,False
458,458,31.1189,121.5077,594,25,False
459,459,31.1189,121.5177,347,25,False
460,460,31.1189,121.5277,588,8,False
461,461,31.1189,121.5377,1048,8,False
462,462,31.1189,121.5477,2220,8,False
463,463,31.1189,121.5577,3926,8,False
464,464,31.1189,121.5677,19526,8,False
465,465,31.1189,121.5777,7962,8,False
466,466,31.1189,121.5877,2913,8,False
467,467,31.1189,121.5977,1317,8,False
468,468,31.1189,121.6077,99,8,False
469,469,31.1189,121.6177,678,8,False
470,470,31.1189,121.6277,255,8,False
471,471,31.1189,121.6377,269,8,False
472,472,31.1289,121.2177,352,0,False
473,473,31.1289,121.2277,187,0,False
474,474,31.1289,121.2377,35,0,False
475,475,31.1289,121.2477,169,17,False
476,476,31.1289,121.2577,179,17,False
477,477,31.1289,121.2677,1128,17,False
