avg_noise,total_demand,total_price,total_dist_km,min_pairwise_sep_km,feasible
1.0791666599999998,1123726.0,707435.5081606823,55.39585035081196,3.0602932570069243,True
1.0624999800000001,723549.0,555616.1337969017,82.30965971680678,3.0611376745422567,True
1.04166664,767825.0,613081.858150634,77.90377246188761,3.4686426187509936,True
1.08749998,1110968.0,625476.6970553442,73.94815194354345,3.0619813989625246,True
1.0791666599999998,932002.0,568273.1832661364,72.76614423045459,3.0602932570069243,True
1.07499998,1175653.0,697663.6275178641,61.39366353539766,3.0602932570069243,True
1.08749998,757896.0,519617.78501734405,81.44932770099167,3.0602932570069243,True
1.06666668,979285.0,691845.7972663136,56.88756833617488,3.0602932570069243,True
1.05833332,943915.0,736398.959807155,53.1579699748132,3.0602932570069243,True
1.07916664,1177366.0,701955.5233511975,58.4376099781609,3.0602932570069243,True
1.06666664,868447.0,571959.2312184859,83.66092167395125,3.0619813989625246,True
1.07083334,999063.0,678467.3614798777,62.68461990076939,3.0602932570069243,True
1.06666664,1002830.0,612053.3233822286,78.66669825731287,3.0619813989625246,True
1.05,948304.0,694726.5597273331,62.60505025674394,3.0602932570069243,True
1.0875,721876.0,522002.76781748165,76.95054535331553,3.0602932570069243,True
1.04583332,892463.0,747556.8821946455,53.773734645033315,3.0602932570069243,True
1.0708332999999999,819668.0,549019.251200919,83.75816285597482,3.0611376745422567,True
1.0791666599999998,997585.0,685493.994963227,55.697933480247315,3.0602932570069243,True
1.07083332,1044364.0,705087.5554579796,57.373015980142284,3.0602932570069243,True
1.0708332999999999,717680.0,539069.2161767643,80.52981219534759,3.060574806509673,True
1.08333332,1168837.0,725149.0630337371,56.06966065836928,3.0602932570069243,True
1.0375,658426.0,656009.118333205,66.21916792017886,3.0602932570069243,True
1.09583332,1114275.0,634682.7137883878,61.59710271007772,3.0602932570069243,True
1.07499998,837050.0,628887.6452816825,64.81133751777904,3.0602932570069243,True
1.10416664,942559.0,550484.7194933892,76.16565277107449,3.0619813989625246,True
1.04166666,626980.0,587316.3310316177,79.04655740734624,3.0602932570069243,True
1.0875,830443.0,566907.658868639,68.90518574129489,3.0602932570069243,True
1.07083336,897153.0,657004.3061645059,63.24593059280748,3.0602932570069243,True
1.07083334,656414.0,526817.099625262,84.61041780170373,3.0602932570069243,True
1.0708332999999999,1156513.0,688228.8086772845,64.17210450242501,3.0619813989625246,True
1.08333332,1135615.0,695627.6125777552,58.90692771905351,3.0619813989625246,True
1.06666664,752975.0,556916.2019787198,85.15896863622186,3.0611376745422567,True
1.0583333,994427.0,614031.3423295971,76.71405009471732,3.0619813989625246,True
1.0583333,859047.0,583591.4580974707,75.02085792385614,3.0611376745422567,True
1.0624999800000001,728942.0,582597.6308779067,79.58122223542486,3.0611376745422567,True
1.0374999800000002,760976.0,648474.7787855545,71.43441009136961,3.4686426187509936,True
1.07083334,716187.0,553339.1486270769,74.69050618838659,3.0602932570069243,True
1.08333332,1102438.0,672656.967795642,59.37555108490592,3.0602932570069243,True
1.04166668,804894.0,704264.8367715608,56.260151531000176,3.0602932570069243,True
1.0791666599999998,1133220.0,712171.8088496851,56.982418122420356,3.0602932570069243,True
1.07916664,753317.0,527789.6183506774,81.2729909536588,3.0602932570069243,True
1.09583332,1163276.0,649657.1575503317,65.25007587168737,3.0602932570069243,True
1.0458333400000002,805117.0,661651.8720976477,65.69260252793572,3.4686426187509936,True
1.05000002,785152.0,658790.3401863478,60.76894330986296,3.0602932570069243,True
1.07499998,1137358.0,664363.7608511974,67.75169065204703,3.0602932570069243,True
1.09166666,1096755.0,649729.8711382843,61.06168090797227,3.0619813989625246,True
1.05416664,965001.0,612731.2741477789,73.86474117530224,3.0619813989625246,True
1.0916666400000001,773711.0,519739.46045594057,80.09038427246033,3.0602932570069243,True
1.05,810041.0,615184.3819304106,73.79039828854278,3.0602932570069243,True
1.07083332,1062995.0,729478.9703019075,54.58305213442212,3.0602932570069243,True
1.07916664,716000.0,526869.8352243834,84.63122524607398,3.060574806509673,True
1.09166668,978388.0,607355.5367624898,63.78265199148545,3.0602932570069243,True
1.05416666,944396.0,654427.6129761622,70.27033681705183,3.0602932570069243,True
1.0875,1092632.0,704255.4343571663,51.54526923905922,3.0602932570069243,True
1.07499998,1068196.0,638803.2032754399,68.25738061938583,3.0602932570069243,True
1.05833332,908146.0,691689.1351136405,60.20012859908668,3.0602932570069243,True
1.0958333,1153175.0,664975.934669348,64.3770431787389,3.0619813989625246,True
1.05416668,836128.0,708703.2007355249,51.62928970339506,3.0602932570069243,True
1.05833332,972088.0,730930.064180861,57.007178699969614,3.0614189930459865,True
